Longitud;Latitud;Name;Nombre_PAF;Departamento;Ciudad
-66.15627222;-17.38755833;BCR;Edif.Colon;COCHABAMBA;COCHABAMBA
-66.17577778;-17.41461944;BCR;Aeropuerto CBB;COCHABAMBA;COCHABAMBA
-66.15753611;-17.39383333;BCR;BCP 14 de Septiembre;COCHABAMBA;COCHABAMBA
-66.14249167;-17.37351111;BCR;BCP UNIVERSIDAD CATOLICA;COCHABAMBA;COCHABAMBA
-66.15405;-17.40063889;BCR;Ag. La Cancha 1;COCHABAMBA;COCHABAMBA
-66.15405;-17.40063889;BCR;BCP La Cancha 2;COCHABAMBA;COCHABAMBA
-66.17995278;-17.388075;BCR;BCP IC Hipodromo;COCHABAMBA;COCHABAMBA
-66.15708889;-17.39646944;BCR;Of.Central CBB 1;COCHABAMBA;COCHABAMBA
-63.14801722;-17.7801969;BCR;Ag. Virgen de Cotoca 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.15708889;-17.39646944;BCR;Of.Central CBB 2;COCHABAMBA;COCHABAMBA
-66.15708889;-17.39646944;BCR;Of. Central CBB 3;COCHABAMBA;COCHABAMBA
-66.15601111;-17.40553056;BCR;La Cancha;COCHABAMBA;COCHABAMBA
-63.14522504;-17.82207146;BCR;Gas y Gas;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.15129444;-17.38003333;BCR;Ag.C.Center CBB 1;COCHABAMBA;COCHABAMBA
-68.096734;-16.56152629;BCR;Aranjuez;LA PAZ;LA PAZ
-68.1311786;-16.50015772;BCR;Mercado Camacho;LA PAZ;LA PAZ
-66.25704722;-17.39122778;BCR;PIL CBB;COCHABAMBA;COCHABAMBA
-63.19348025;-17.76798866;BCR;Ag. San Martín 1;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19349257;-17.76798286;BCR;Ag. San Martín 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.16574444;-17.37875;BCR;Surt. El Cristo;COCHABAMBA;COCHABAMBA
-63.16185333;-17.76611767;BCR;Brinks;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.148625;-17.39280278;BCR;U.San Simón;COCHABAMBA;COCHABAMBA
-66.18375556;-17.37143889;BCR;Juan de La Rosa;COCHABAMBA;COCHABAMBA
-68.18528083;-16.58525968;BCR;Senkata;LA PAZ;EL ALTO
-63.21617483;-17.79139626;BCR;Hot Burger El Palmar;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14558317;-17.76463065;BCR;Ag. Parque Industrial 1;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14559449;-17.76464077;BCR;Ag. Parque Industrial 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.11892846;-17.38219265;BCR;Hiper Villazón CBB;COCHABAMBA;SACABA
-63.18148582;-17.84490845;BCR;Farmacia Hipermaxi;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.15775278;-17.40268056;BCR;Terminal de Buses CBB;COCHABAMBA;COCHABAMBA
-66.15372222;-17.39806667;BCR;San Martin;COCHABAMBA;COCHABAMBA
-68.13378375;-16.49899356;BIS;Agencia Camacho;LA PAZ;LA PAZ
-63.16535321;-17.80404532;BCR;Hot Burger San Aurelio;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.08382882;-16.54016714;BCR;Calacoto C.15;LA PAZ;LA PAZ
-68.1233531;-16.50925574;BCR;Torres del Poeta;LA PAZ;LA PAZ
-66.15101111;-17.38474167;BCR;Híper Oquendo;COCHABAMBA;COCHABAMBA
-66.17126163;-17.39364939;BCR;Ag. Blanco Galindo 2;COCHABAMBA;COCHABAMBA
-66.28139722;-17.39576111;BCR;Ag.Quillacollo 1;COCHABAMBA;QUILLACOLLO
-66.15784444;-17.385525;BCR;BCP El Prado;COCHABAMBA;COCHABAMBA
-65.25488876;-19.03316938;BCR;Ag. Mcdo. Campesino 2;CHUQUISACA;SUCRE
-66.15073482;-17.37560417;BCR;Hupermall;COCHABAMBA;COCHABAMBA
-68.11855954;-16.49994929;BCR;Hospital Obrero 2;LA PAZ;LA PAZ
-66.16988333;-17.38371667;BCR;BCP Tadeo Haenke;COCHABAMBA;COCHABAMBA
-63.16492316;-17.51706571;BCR;Genex Warnes;SANTA CRUZ;WARNES
-66.17037322;-17.38770498;BCR;Av. Perú;COCHABAMBA;COCHABAMBA
-68.19082492;-16.53423076;BCR;Cruce Villa Adela;LA PAZ;EL ALTO
-63.16553623;-17.77469995;BCR;Mini Market Pronto;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.15652916;-17.76726769;BCR;Hospital Obrero SCZ;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18197545;-17.77552781;BCR;Ag. El Cristo 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.155175;-17.39182222;BCR;Heroínas;COCHABAMBA;COCHABAMBA
-63.18246667;-17.78268889;BNA;CAJERO No 1;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18250984;-17.78269461;BNA;CAJERO No 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.1799;-17.3883;BIS;IC NORTE;COCHABAMBA;COCHABAMBA
-66.15936944;-17.38349722;BIS;AV. BALLIVIAN;COCHABAMBA;COCHABAMBA
-66.1434;-17.3739;BIS;TUPURAYA;COCHABAMBA;COCHABAMBA
-66.1636;-17.3684;BIS;CALA CALA;COCHABAMBA;COCHABAMBA
-66.15713889;-17.39586111;BIS;NATANIEL AGUIRRE;COCHABAMBA;COCHABAMBA
-66.1512;-17.3753;BIS;PORTALES;COCHABAMBA;COCHABAMBA
-66.1511;-17.3848;BIS;TORRES SOFER;COCHABAMBA;COCHABAMBA
-66.1821;-17.3937;BIS;HIPERMAXI CBBA.;COCHABAMBA;COCHABAMBA
-66.1656;-17.3789;BIS;EL CRISTO;COCHABAMBA;COCHABAMBA
-66.17588889;-17.37141667;BIS;MELCHOR PÉREZ DE HOLGUÍN;COCHABAMBA;COCHABAMBA
-66.15524167;-17.39188333;BIS;HEROÍNAS;COCHABAMBA;COCHABAMBA
-66.1594;-17.3835;BIS;BALLIVIAN II;COCHABAMBA;COCHABAMBA
-66.15713889;-17.39586111;BIS;NATANIEL AGUIRRE II;COCHABAMBA;COCHABAMBA
-66.1755;-17.3655;BIS;JALASOFT;COCHABAMBA;COCHABAMBA
-66.1929;-17.3508;BIS;SUPER DE TODO;COCHABAMBA;TIQUIPAYA
-66.2799;-17.3951;BIS;QUILLACOLLO;COCHABAMBA;QUILLACOLLO
-63.18259722;-17.77213333;BIS;MONS. RIVERO VI;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19669167;-17.76433611;BIS;LOS TAJIBOS;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18484722;-17.78599722;BIS;7 CALLES;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17193611;-17.75531111;BIS;HAMACAS;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18259722;-17.77213056;BIS;MONS. RIVERO V;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18418611;-17.81341667;BIS;HIPERMAXI SUR;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17363611;-17.74506667;BIS;NORTE;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19410833;-17.76757222;BIS;CHUUBI;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14764444;-17.76719722;BIS;HIPER GRIGOTA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14758333;-17.76719167;BIS;PARQUE INDUSTRIAL;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18204722;-17.80008611;BIS;BISA SEGUROS;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18049167;-17.78320556;BIS;BENI;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17850833;-17.79176944;BIS;IRALA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17901944;-17.79846944;BIS;CINE CENTER;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17336389;-17.77643333;BIS;SUPER FIDALGA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.204225;-17.78548056;BIS;SURTIDOR PETROBRAS;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19596111;-17.8013;BIS;HIPER MERCADO PLAZA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.16124722;-17.76446389;BIS;MUTUALISTA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.16906667;-17.79904167;BIS;TOBBY SAN AURELIO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.1891;-17.78087778;BIS;CAÑOTO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14704444;-17.780225;BIS;VIRGEN DE COTOCA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.1560853;-17.8145819;BIS;ALEMANA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.16053889;-17.79528333;BIS;HIPERMAXI 3 PASOS AL FRENTE;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.12431389;-17.771625;BIS;HIPERMAXI LA PAMPA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.14234167;-17.77729167;BIS;HIPER PLAZA VIRGEN DE COTOCA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.18259722;-17.77213333;BIS;MONS. RIVERO III;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.22789167;-17.82895556;BIS;DOBLE VIA LA GUARDIA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.52027222;-20.03828611;BIS;CAMIRI;SANTA CRUZ;CAMIRI
-63.25556111;-17.34346389;BIS;MONTERO;SANTA CRUZ;MONTERO
-63.14037778;-17.64800556;BIS;VIRU VIRU;SANTA CRUZ;WARNES
